,Load name,Channel,Value (%),Level,Frequency (Hz),Voltage (V)
0,"RGB LED strip, 3 channels, Red wire",0,100.0,65534,991,2.9176542397411227
1,"RGB LED strip, 3 channels, Red wire",0,0.0,0,991,0.17362801870662498
2,"RGB LED strip, 3 channels, Red wire",0,0.25,163,991,0.1744815647547829
3,"RGB LED strip, 3 channels, Red wire",0,0.5,327,991,0.17429267899044681
4,"RGB LED strip, 3 channels, Red wire",0,0.53,347,991,0.17483941567552747
5,"RGB LED strip, 3 channels, Red wire",0,0.56,366,991,0.1747579731900987
6,"RGB LED strip, 3 channels, Red wire",0,0.59,386,991,0.17458388787743712
7,"RGB LED strip, 3 channels, Red wire",0,0.62,406,991,0.17510846388622597
8,"RGB LED strip, 3 channels, Red wire",0,0.65,425,991,0.1751463050410475
9,"RGB LED strip, 3 channels, Red wire",0,0.68,445,991,0.17505286218939775
10,"RGB LED strip, 3 channels, Red wire",0,0.71,465,991,0.17520358678914796
11,"RGB LED strip, 3 channels, Red wire",0,0.74,484,991,0.1752347877413252
12,"RGB LED strip, 3 channels, Red wire",0,0.77,504,991,0.17577432420667075
13,"RGB LED strip, 3 channels, Red wire",0,0.8,524,991,0.17608057355265938
14,"RGB LED strip, 3 channels, Red wire",0,0.83,543,991,0.17613993536423836
15,"RGB LED strip, 3 channels, Red wire",0,0.86,563,991,0.17560047890133212
16,"RGB LED strip, 3 channels, Red wire",0,0.89,583,991,0.17642762414380397
17,"RGB LED strip, 3 channels, Red wire",0,0.92,602,991,0.17527246889126144
18,"RGB LED strip, 3 channels, Red wire",0,0.95,622,991,0.17637610257149025
19,"RGB LED strip, 3 channels, Red wire",0,0.98,642,991,0.17663451045747122
20,"RGB LED strip, 3 channels, Red wire",0,1.01,661,991,0.17626945931699656
21,"RGB LED strip, 3 channels, Red wire",0,1.04,681,991,0.1776276607660123
22,"RGB LED strip, 3 channels, Red wire",0,1.07,701,991,0.17572608273445844
23,"RGB LED strip, 3 channels, Red wire",0,1.1,720,991,0.17780574620075154
24,"RGB LED strip, 3 channels, Red wire",0,1.13,740,991,0.1778279068770403
25,"RGB LED strip, 3 channels, Red wire",0,1.16,760,991,0.17769614285592072
26,"RGB LED strip, 3 channels, Red wire",0,1.19,779,991,0.17830120132084
27,"RGB LED strip, 3 channels, Red wire",0,1.22,799,991,0.1785583291677586
28,"RGB LED strip, 3 channels, Red wire",0,1.25,819,991,0.17871329389690868
29,"RGB LED strip, 3 channels, Red wire",0,1.28,838,991,0.1785659293997005
30,"RGB LED strip, 3 channels, Red wire",0,1.31,858,991,0.17919226851405426
31,"RGB LED strip, 3 channels, Red wire",0,1.34,878,991,0.1790365037604914
32,"RGB LED strip, 3 channels, Red wire",0,1.37,897,991,0.17880593672414266
