,Load name,Channel,Value (%),Level,Frequency (Hz),Voltage (V)
0,"RGB LED strip, 3 channels, Green wire",1,100.0,65534,991,2.9550630613675244
1,"RGB LED strip, 3 channels, Green wire",1,0.0,0,991,0.1730755218457583
2,"RGB LED strip, 3 channels, Green wire",1,0.25,163,991,0.17312016320810467
3,"RGB LED strip, 3 channels, Green wire",1,0.5,327,991,0.17327000778099827
4,"RGB LED strip, 3 channels, Green wire",1,0.53,347,991,0.17332512946317857
5,"RGB LED strip, 3 channels, Green wire",1,0.56,366,991,0.1728381546018839
6,"RGB LED strip, 3 channels, Green wire",1,0.59,386,991,0.17303336055909843
7,"RGB LED strip, 3 channels, Green wire",1,0.62,406,991,0.17321240602313337
8,"RGB LED strip, 3 channels, Green wire",1,0.65,425,991,0.17278503298074013
9,"RGB LED strip, 3 channels, Green wire",1,0.68,445,991,0.17263630844202865
10,"RGB LED strip, 3 channels, Green wire",1,0.71,465,991,0.17283871461897624
11,"RGB LED strip, 3 channels, Green wire",1,0.74,484,991,0.17268238984832185
12,"RGB LED strip, 3 channels, Green wire",1,0.77,504,991,0.17276191227515494
13,"RGB LED strip, 3 channels, Green wire",1,0.8,524,991,0.17339633163609644
14,"RGB LED strip, 3 channels, Green wire",1,0.83,543,991,0.1728577552000474
15,"RGB LED strip, 3 channels, Green wire",1,0.86,563,991,0.1723097384759043
16,"RGB LED strip, 3 channels, Green wire",1,0.89,583,991,0.17245350286324587
17,"RGB LED strip, 3 channels, Green wire",1,0.92,602,991,0.1725803867354344
18,"RGB LED strip, 3 channels, Green wire",1,0.95,622,991,0.17256070613483113
19,"RGB LED strip, 3 channels, Green wire",1,0.98,642,991,0.17267142951383951
20,"RGB LED strip, 3 channels, Green wire",1,1.01,661,991,0.17262126798303049
21,"RGB LED strip, 3 channels, Green wire",1,1.04,681,991,0.1723782205658119
22,"RGB LED strip, 3 channels, Green wire",1,1.07,701,991,0.17220413525314998
23,"RGB LED strip, 3 channels, Green wire",1,1.1,720,991,0.17227701747733917
24,"RGB LED strip, 3 channels, Green wire",1,1.13,740,991,0.1721628539933473
25,"RGB LED strip, 3 channels, Green wire",1,1.16,760,991,0.17201540949369748
26,"RGB LED strip, 3 channels, Green wire",1,1.19,779,991,0.1720638909732336
27,"RGB LED strip, 3 channels, Green wire",1,1.22,799,991,0.1720898117642739
28,"RGB LED strip, 3 channels, Green wire",1,1.25,819,991,0.1721770144254884
29,"RGB LED strip, 3 channels, Green wire",1,1.28,838,991,0.1720981320181869
30,"RGB LED strip, 3 channels, Green wire",1,1.31,858,991,0.17187628524796073
31,"RGB LED strip, 3 channels, Green wire",1,1.34,878,991,0.1721997351188689
32,"RGB LED strip, 3 channels, Green wire",1,1.37,897,991,0.1719495674843579
33,"RGB LED strip, 3 channels, Green wire",1,1.4,917,991,0.17214517345377867
34,"RGB LED strip, 3 channels, Green wire",1,1.43,937,991,0.1716510783751938
35,"RGB LED strip, 3 channels, Green wire",1,1.46,956,991,0.17133650877529177
36,"RGB LED strip, 3 channels, Green wire",1,1.49,976,991,0.17037871954588424
37,"RGB LED strip, 3 channels, Green wire",1,1.52,996,991,0.17198820866359515
38,"RGB LED strip, 3 channels, Green wire",1,1.55,1015,991,0.17152003437604743
39,"RGB LED strip, 3 channels, Green wire",1,1.58,1035,991,0.17200484917142073
40,"RGB LED strip, 3 channels, Green wire",1,1.61,1055,991,0.17145939252540718
41,"RGB LED strip, 3 channels, Green wire",1,1.64,1074,991,0.17194692740378906
42,"RGB LED strip, 3 channels, Green wire",1,1.67,1094,991,0.17173828103640787
43,"RGB LED strip, 3 channels, Green wire",1,1.7,1114,991,0.1709444168095944
44,"RGB LED strip, 3 channels, Green wire",1,1.73,1133,991,0.17185820469618776
45,"RGB LED strip, 3 channels, Green wire",1,1.76,1153,991,0.1715642757261881
46,"RGB LED strip, 3 channels, Green wire",1,1.79,1173,991,0.1711389827472767
47,"RGB LED strip, 3 channels, Green wire",1,1.82,1192,991,0.17147443298440507
48,"RGB LED strip, 3 channels, Green wire",1,1.85,1212,991,0.17217941449873325
49,"RGB LED strip, 3 channels, Green wire",1,1.88,1232,991,0.17134538904629634
50,"RGB LED strip, 3 channels, Green wire",1,1.91,1251,991,0.1711091418366039
51,"RGB LED strip, 3 channels, Green wire",1,1.94,1271,991,0.17111146190740578
52,"RGB LED strip, 3 channels, Green wire",1,1.97,1291,991,0.1710345795611429
53,"RGB LED strip, 3 channels, Green wire",1,2.0,1310,991,0.17107674084780425
54,"RGB LED strip, 3 channels, Green wire",1,2.03,1330,991,0.17191188633442048
55,"RGB LED strip, 3 channels, Green wire",1,2.06,1350,991,0.17241958182805717
56,"RGB LED strip, 3 channels, Green wire",1,2.09,1369,991,0.172281817623828
57,"RGB LED strip, 3 channels, Green wire",1,2.12,1389,991,0.17227389738212137
58,"RGB LED strip, 3 channels, Green wire",1,2.15,1408,991,0.17227165731375912
59,"RGB LED strip, 3 channels, Green wire",1,2.18,1428,991,0.17232621897885034
60,"RGB LED strip, 3 channels, Green wire",1,2.21,1448,991,0.17228813781670527
61,"RGB LED strip, 3 channels, Green wire",1,2.24,1467,991,0.172338539354839
62,"RGB LED strip, 3 channels, Green wire",1,2.27,1487,991,0.17217949450117506
63,"RGB LED strip, 3 channels, Green wire",1,2.3,1507,991,0.17297439875972687
64,"RGB LED strip, 3 channels, Green wire",1,2.33,1526,991,0.17230469832209025
65,"RGB LED strip, 3 channels, Green wire",1,2.36,1546,991,0.17296407844477565
66,"RGB LED strip, 3 channels, Green wire",1,2.39,1566,991,0.1731339236280397
67,"RGB LED strip, 3 channels, Green wire",1,2.42,1585,991,0.17316016442884552
68,"RGB LED strip, 3 channels, Green wire",1,2.45,1605,991,0.17443148322641625
69,"RGB LED strip, 3 channels, Green wire",1,2.48,1625,991,0.1748396556828509
