,Value (%),Level,Frequency (Hz),Voltage (V)
0,0.0,0.0,275.0,0.1676251955149994
1,0.05,32.0,275.0,0.1676231154515216
2,0.1,65.0,275.0,0.16729302537797197
3,0.15,98.0,275.0,0.16780424097903238
4,0.2,131.0,275.0,0.16794552529068785
5,0.21,137.0,275.0,0.16811089033722965
6,0.22,144.0,275.0,0.18061719199926793
7,0.23,150.0,275.0,0.18029502216742246
8,0.24,157.0,275.0,0.18040686558061345
9,0.25,163.0,275.0,0.20124054137394395
10,0.26,170.0,275.0,0.20209608748313862
11,0.27,176.0,275.0,0.2357183135520485
12,0.28,183.0,275.0,0.2360080023926519
13,0.29,190.0,275.0,0.23650801765190577
14,0.3,196.0,275.0,0.27062209873103943
15,0.31,203.0,275.0,0.2709511487728502
16,0.32,209.0,275.0,0.3014697601269555
17,0.33,216.0,275.0,0.30144863948240486
18,0.34,222.0,275.0,0.30414144166020535
19,0.35,229.0,275.0,0.3328623981542413
20,0.36,235.0,275.0,0.33196109064851703
21,0.37,242.0,275.0,0.3679426687191386
22,0.38,249.0,275.0,0.368988140624409
23,0.39,255.0,275.0,0.4017346599688689
24,0.4,262.0,275.0,0.40476339239845066
25,0.41,268.0,275.0,0.40435874004943695
26,0.42,275.0,275.0,0.4417255603942952
27,0.43,281.0,275.0,0.43950557264565054
28,0.44,288.0,275.0,0.46379319384502943
29,0.45,294.0,275.0,0.4647558632233626
30,0.46,301.0,275.0,0.4660134216009995
31,0.47,308.0,275.0,0.49020823996826235
32,0.48,314.0,275.0,0.4869780613910349
33,0.49,321.0,275.0,0.5096197123593854
34,0.5,327.0,275.0,0.5106807847407459
35,0.55,360.0,275.0,0.5504028769627979
36,0.6,393.0,275.0,0.5815620678658407
37,0.65,425.0,275.0,0.6126186156364591
38,0.7,458.0,275.0,0.6419268700534055
39,0.75,491.0,275.0,0.6667282669319714
40,0.8,524.0,275.0,0.6912674158073645
41,0.85,557.0,275.0,0.71179708232307
42,0.9,589.0,275.0,0.7350627523349671
43,0.95,622.0,275.0,0.7550456821655843
44,1.0,655.0,275.0,0.7873144269295255
45,1.05,688.0,275.0,0.806828702457952
46,1.1,720.0,275.0,0.8213760264070481
47,1.15,753.0,275.0,0.8346013900131091
48,1.2,786.0,275.0,0.847634427749866
49,1.25,819.0,275.0,0.856619261945244
50,1.3,851.0,275.0,0.8647311094991863
51,1.35,884.0,275.0,0.8651259215478858
52,1.4,917.0,275.0,0.8661177918173703
53,1.45,950.0,275.0,0.8735804995611353
54,1.5,983.0,275.0,0.8760717755888441
55,1.55,1015.0,275.0,0.8796009232898819
56,1.6,1048.0,275.0,0.8816779466756108
57,1.65,1081.0,275.0,0.8839948173808868
58,1.7,1114.0,275.0,0.887834694564643
59,1.75,1146.0,275.0,0.8870752313876678
60,1.8,1179.0,275.0,0.89280164614398
61,1.85,1212.0,275.0,0.8955942113663117
62,1.9,1245.0,275.0,0.8942360099172876
63,1.95,1277.0,275.0,0.8945237786992949
64,2.0,1310.0,275.0,0.8984073372160997
65,2.05,1343.0,275.0,0.9000066660237382
66,2.1,1376.0,275.0,0.9027632301473939
67,2.15,1408.0,275.0,0.9063284589495448
68,2.2,1441.0,275.0,0.902739949436923
69,2.25,1474.0,275.0,0.9030633193053916
70,2.5,1638.0,275.0,0.9168858211346715
71,3.0,1966.0,275.0,0.928983630330502
72,3.5,2293.0,275.0,0.9432488656709439
73,4.0,2621.0,275.0,0.9575036206915403
74,4.5,2949.0,275.0,0.972216229684731
75,5.0,3276.0,275.0,0.9874036531681134
76,5.5,3604.0,275.0,0.9970418673030721
77,6.0,3932.0,275.0,1.0136786150163166
78,6.5,4259.0,275.0,1.028503867447123
79,7.0,4587.0,275.0,1.042071561500283
80,7.5,4915.0,275.0,1.0605904466518077
81,10.0,6553.0,275.0,1.131438928775879
82,12.5,8191.0,275.0,1.1960395402300878
83,15.0,9830.0,275.0,1.2688634426392262
84,17.5,11468.0,275.0,1.3391194266816924
85,20.0,13106.0,275.0,1.4115675576231852
86,22.5,14745.0,275.0,1.483870244126075
87,25.0,16383.0,275.0,1.555236502051414
88,27.5,18021.0,275.0,1.6200462398876447
89,30.0,19660.0,275.0,1.6968853048298271
90,32.5,21298.0,275.0,1.7657004449012326
91,35.0,22936.0,275.0,1.8380563330276867
92,37.5,24575.0,275.0,1.9137336825170872
93,40.0,26213.0,275.0,1.9798012987407452
94,42.5,27851.0,275.0,2.0542414104726743
95,45.0,29490.0,275.0,2.12209452118529
96,47.5,31128.0,275.0,2.192078016912081
97,50.0,32767.0,275.0,2.2682292208624086
98,52.5,34405.0,275.0,2.3401209348234224
99,55.0,36043.0,275.0,2.4095908148759406
100,57.5,37682.0,275.0,2.48308665779107
101,60.0,39320.0,275.0,2.551897157720914
102,62.5,40958.0,275.0,2.6249993086215375
103,65.0,42597.0,275.0,2.695879631717268
104,65.5,42924.0,275.0,2.7073167007489007
105,66.0,43252.0,275.0,2.718932575237264
106,66.5,43580.0,275.0,2.7373326567631917
107,67.0,43907.0,275.0,2.7505662606207326
108,67.5,44235.0,275.0,2.764869257113524
109,68.0,44563.0,275.0,2.7805814966129883
110,68.5,44890.0,275.0,2.79580908132197
111,69.0,45218.0,275.0,2.8087516362973686
112,69.5,45546.0,275.0,2.820592397648732
113,70.0,45873.0,275.0,2.8342600147512917
114,70.5,46201.0,275.0,2.8490264653876216
115,71.0,46529.0,275.0,2.8650306337960454
116,71.5,46856.0,275.0,2.8763869803642335
117,72.0,47184.0,275.0,2.8903918877601162
118,72.5,47512.0,275.0,2.9038395781510333
119,73.0,47839.0,275.0,2.916748372096177
120,73.5,48167.0,275.0,2.9282628034887392
121,74.0,48495.0,275.0,2.9398129959726487
122,74.5,48822.0,275.0,2.949526332400128
123,75.0,49150.0,275.0,2.9591963075043792
124,75.5,49478.0,275.0,2.9676570457056446
125,76.0,49805.0,275.0,2.974297008341255
126,76.5,50133.0,275.0,2.981059534717174
127,77.0,50461.0,275.0,2.9858464808031853
128,77.5,50788.0,275.0,2.9920995516317648
129,78.0,51116.0,275.0,2.99637424208493
130,78.5,51444.0,275.0,3.0004908477137144
131,79.0,51771.0,275.0,3.004092077614489
132,79.5,52099.0,275.0,3.007002406430677
133,80.0,52427.0,275.0,3.0093361576510147
134,82.5,54065.0,275.0,3.0144052723479975
135,85.0,55703.0,275.0,3.014674560565896
136,87.5,57342.0,275.0,3.014776883688504
137,90.0,58980.0,275.0,3.0148676064570625
138,92.5,60618.0,275.0,3.015030491427774
139,95.0,62257.0,275.0,3.015098733510316
140,97.5,63895.0,275.0,3.0151097738472115
141,100.0,65534.0,275.0,3.0151595353657727
142,0.0,0.0,300.0,0.16633259606799555
143,0.05,32.0,300.0,0.16641507858516172
144,0.1,65.0,300.0,0.16668468681295245
145,0.15,98.0,300.0,0.16644835960081727
146,0.2,131.0,300.0,0.16699221619800353
147,0.21,137.0,300.0,0.16679637022125854
148,0.22,144.0,300.0,0.16884555275734675
149,0.23,150.0,300.0,0.16899731738883686
150,0.24,157.0,300.0,0.1673115859443959
151,0.25,163.0,300.0,0.18576038895718255
152,0.26,170.0,300.0,0.18596695526108506
153,0.27,176.0,300.0,0.2083969197692795
154,0.28,183.0,300.0,0.20789058431714905
155,0.29,190.0,300.0,0.20855004444227457
156,0.3,196.0,300.0,0.2443795378716401
157,0.31,203.0,300.0,0.2448553123911247
158,0.32,209.0,300.0,0.280349755595567
159,0.33,216.0,300.0,0.2795397308755758
160,0.34,222.0,300.0,0.2791053976207764
161,0.35,229.0,300.0,0.3096297691506707
162,0.36,235.0,300.0,0.31054651712759757
163,0.37,242.0,300.0,0.3421506016077137
164,0.38,249.0,300.0,0.33970500697408856
165,0.39,255.0,300.0,0.3771369493063154
166,0.4,262.0,300.0,0.3767262967741906
167,0.41,268.0,300.0,0.37708390768761
168,0.42,275.0,300.0,0.4087039126535813
169,0.43,281.0,300.0,0.40696969972960667
170,0.44,288.0,300.0,0.44524910792443595
171,0.45,294.0,300.0,0.44764550105655065
172,0.46,301.0,300.0,0.44324216667744887
173,0.47,308.0,300.0,0.4753132254084932
174,0.48,314.0,300.0,0.4747142471291226
175,0.49,321.0,300.0,0.5036477701101705
176,0.5,327.0,300.0,0.5019169172887308
177,0.55,360.0,300.0,0.5480828061598562
178,0.6,393.0,300.0,0.5839683813007008
179,0.65,425.0,300.0,0.6159419970580174
180,0.7,458.0,300.0,0.6500988794433379
181,0.75,491.0,300.0,0.6768544959599582
182,0.8,524.0,300.0,0.7053582458253715
183,0.85,557.0,300.0,0.7260637577074465
184,0.9,589.0,300.0,0.7534763542735008
185,0.95,622.0,300.0,0.7730043902218681
186,1.0,655.0,300.0,0.8093424591717195
187,1.05,688.0,300.0,0.8254695113302949
188,1.1,720.0,300.0,0.8446687372441715
189,1.15,753.0,300.0,0.8620599879830224
190,1.2,786.0,300.0,0.8782912833228476
191,1.25,819.0,300.0,0.8931295761516104
192,1.3,851.0,300.0,0.9038071820062821
193,1.35,884.0,300.0,0.9119939918478859
194,1.4,917.0,300.0,0.9208977835700434
195,1.45,950.0,300.0,0.9239281960508992
196,1.5,983.0,300.0,0.9295646080605401
197,1.55,1015.0,300.0,0.9346140421570449
198,1.6,1048.0,300.0,0.9361432888259354
199,1.65,1081.0,300.0,0.9400222072011357
200,1.7,1114.0,300.0,0.9464711240064667
201,1.75,1146.0,300.0,0.9448589148057394
202,1.8,1179.0,300.0,0.946981059568466
203,1.85,1212.0,300.0,0.954023914499333
204,1.9,1245.0,300.0,0.9509481406341648
205,1.95,1277.0,300.0,0.9566495946287409
206,2.0,1310.0,300.0,0.9578241904745479
207,2.05,1343.0,300.0,0.9589622252046096
208,2.1,1376.0,300.0,0.9617467101803503
209,2.15,1408.0,300.0,0.9654151421320152
210,2.2,1441.0,300.0,0.9667293422382124
211,2.25,1474.0,300.0,0.9689191690664218
212,2.5,1638.0,300.0,0.9751944805737397
213,3.0,1966.0,300.0,0.989503077237453
214,3.5,2293.0,300.0,1.0068059252784742
215,4.0,2621.0,300.0,1.014094547709573
216,4.5,2949.0,300.0,1.0355124813330432
217,5.0,3276.0,300.0,1.0480931052632068
218,5.5,3604.0,300.0,1.0668360772533223
219,6.0,3932.0,300.0,1.0781433023224478
220,6.5,4259.0,300.0,1.0897388561906627
221,7.0,4587.0,300.0,1.1065198483058958
222,7.5,4915.0,300.0,1.1182778871327768
223,10.0,6553.0,300.0,1.188554511805149
224,12.5,8191.0,300.0,1.2629677427167343
225,15.0,9830.0,300.0,1.3327896335117466
226,17.5,11468.0,300.0,1.400610183230665
227,20.0,13106.0,300.0,1.4721258057142628
228,22.5,14745.0,300.0,1.5444222520267015
229,25.0,16383.0,300.0,1.6184960325790765
230,27.5,18021.0,300.0,1.6870498846766147
231,30.0,19660.0,300.0,1.75834422040708
232,32.5,21298.0,300.0,1.8283034753940977
233,35.0,22936.0,300.0,1.9039905051789392
234,37.5,24575.0,300.0,1.973889278320219
235,40.0,26213.0,300.0,2.043444120965562
236,42.5,27851.0,300.0,2.1160544968583794
237,45.0,29490.0,300.0,2.18747371639998
238,47.5,31128.0,300.0,2.2592246260639675
239,50.0,32767.0,300.0,2.3312553042658006
240,52.5,34405.0,300.0,2.40206626524481
241,55.0,36043.0,300.0,2.4753263409649064
242,57.5,37682.0,300.0,2.5451841528560886
243,60.0,39320.0,300.0,2.613999932946986
244,62.5,40958.0,300.0,2.6855867576033723
245,65.0,42597.0,300.0,2.7570102972766395
246,65.5,42924.0,300.0,2.7742121022340998
247,66.0,43252.0,300.0,2.7875526693558386
248,66.5,43580.0,300.0,2.7975586547142735
249,67.0,43907.0,300.0,2.81483446193004
250,67.5,44235.0,300.0,2.8269703522880025
251,68.0,44563.0,300.0,2.8423959430396284
252,68.5,44890.0,300.0,2.854540793670983
253,69.0,45218.0,300.0,2.8712612239379673
254,69.5,45546.0,300.0,2.8821484361893095
255,70.0,45873.0,300.0,2.8942642459344503
256,70.5,46201.0,300.0,2.9077097762594146
257,71.0,46529.0,300.0,2.92071289308303
258,71.5,46856.0,300.0,2.932587895479332
259,72.0,47184.0,300.0,2.9426653230180055
260,72.5,47512.0,300.0,2.952955077036332
261,73.0,47839.0,300.0,2.961475097046659
262,73.5,48167.0,300.0,2.968912444016475
263,74.0,48495.0,300.0,2.9752283167615934
264,74.5,48822.0,300.0,2.9811864185884467
265,75.0,49150.0,300.0,2.9869489144458368
266,75.5,49478.0,300.0,2.991759541254528
267,76.0,49805.0,300.0,2.996380082262212
268,76.5,50133.0,300.0,3.000924620950515
269,77.0,50461.0,300.0,3.0041110381922613
270,77.5,50788.0,300.0,3.0071847319938807
271,78.0,51116.0,300.0,3.0096080059463013
272,78.5,51444.0,300.0,3.01152718451499
