,Load name,Channel,Value (%),Level,Frequency (Hz),Voltage (V)
0,"RGB LED strip, 3 channels, Blue wire",3,100.0,65534,991,2.956159094815704
1,"RGB LED strip, 3 channels, Blue wire",3,0.0,0,991,0.1673526271968742
2,"RGB LED strip, 3 channels, Blue wire",3,0.25,163,991,0.16731806614215344
3,"RGB LED strip, 3 channels, Blue wire",3,0.5,327,991,0.16758775437238652
4,"RGB LED strip, 3 channels, Blue wire",3,0.53,347,991,0.16691965398358086
5,"RGB LED strip, 3 channels, Blue wire",3,0.56,366,991,0.16725102409619386
6,"RGB LED strip, 3 channels, Blue wire",3,0.59,386,991,0.1680059271340049
7,"RGB LED strip, 3 channels, Blue wire",3,0.62,406,991,0.1679714460817265
8,"RGB LED strip, 3 channels, Blue wire",3,0.65,425,991,0.16799400677022502
9,"RGB LED strip, 3 channels, Blue wire",3,0.68,445,991,0.16822457380657313
10,"RGB LED strip, 3 channels, Blue wire",3,0.71,465,991,0.1680536085891292
11,"RGB LED strip, 3 channels, Blue wire",3,0.74,484,991,0.1681105703274617
12,"RGB LED strip, 3 channels, Blue wire",3,0.77,504,991,0.16831929669728665
13,"RGB LED strip, 3 channels, Blue wire",3,0.8,524,991,0.16833865728812422
14,"RGB LED strip, 3 channels, Blue wire",3,0.83,543,991,0.16833769725882838
15,"RGB LED strip, 3 channels, Blue wire",3,0.86,563,991,0.1682933759062461
16,"RGB LED strip, 3 channels, Blue wire",3,0.89,583,991,0.1683012161455122
17,"RGB LED strip, 3 channels, Blue wire",3,0.92,602,991,0.16804592835474516
18,"RGB LED strip, 3 channels, Blue wire",3,0.95,622,991,0.16850938249824426
19,"RGB LED strip, 3 channels, Blue wire",3,0.98,642,991,0.16793536498061964
20,"RGB LED strip, 3 channels, Blue wire",3,1.01,661,991,0.1681052101638833
21,"RGB LED strip, 3 channels, Blue wire",3,1.04,681,991,0.1679654458986168
22,"RGB LED strip, 3 channels, Blue wire",3,1.07,701,991,0.16835225770317555
23,"RGB LED strip, 3 channels, Blue wire",3,1.1,720,991,0.1679582456788841
24,"RGB LED strip, 3 channels, Blue wire",3,1.13,740,991,0.16815609171666546
25,"RGB LED strip, 3 channels, Blue wire",3,1.16,760,991,0.1681920128128902
26,"RGB LED strip, 3 channels, Blue wire",3,1.19,779,991,0.1679974468752083
27,"RGB LED strip, 3 channels, Blue wire",3,1.22,799,991,0.1681513715726165
28,"RGB LED strip, 3 channels, Blue wire",3,1.25,819,991,0.16865634698324525
29,"RGB LED strip, 3 channels, Blue wire",3,1.28,838,991,0.1684991421857336
30,"RGB LED strip, 3 channels, Blue wire",3,1.31,858,991,0.16862290596270527
31,"RGB LED strip, 3 channels, Blue wire",3,1.34,878,991,0.16858050466872015
32,"RGB LED strip, 3 channels, Blue wire",3,1.37,897,991,0.16832193677785662
33,"RGB LED strip, 3 channels, Blue wire",3,1.4,917,991,0.1680112072951439
34,"RGB LED strip, 3 channels, Blue wire",3,1.43,937,991,0.16810345011017075
35,"RGB LED strip, 3 channels, Blue wire",3,1.46,956,991,0.16831033642384133
36,"RGB LED strip, 3 channels, Blue wire",3,1.49,976,991,0.16869802825525645
37,"RGB LED strip, 3 channels, Blue wire",3,1.52,996,991,0.16841513962217944
38,"RGB LED strip, 3 channels, Blue wire",3,1.55,1015,991,0.1682418543339315
39,"RGB LED strip, 3 channels, Blue wire",3,1.58,1035,991,0.16836033794976646
40,"RGB LED strip, 3 channels, Blue wire",3,1.61,1055,991,0.1685791446272159
41,"RGB LED strip, 3 channels, Blue wire",3,1.64,1074,991,0.16871442875576068
42,"RGB LED strip, 3 channels, Blue wire",3,1.67,1094,991,0.16781664135746313
43,"RGB LED strip, 3 channels, Blue wire",3,1.7,1114,991,0.168183052539445
44,"RGB LED strip, 3 channels, Blue wire",3,1.73,1133,991,0.16828353560594525
45,"RGB LED strip, 3 channels, Blue wire",3,1.76,1153,991,0.16843410020080982
46,"RGB LED strip, 3 channels, Blue wire",3,1.79,1173,991,0.1685565039362765
47,"RGB LED strip, 3 channels, Blue wire",3,1.82,1192,991,0.16840825941221307
48,"RGB LED strip, 3 channels, Blue wire",3,1.85,1212,991,0.16823377408734375
49,"RGB LED strip, 3 channels, Blue wire",3,1.88,1232,991,0.16867434753257726
50,"RGB LED strip, 3 channels, Blue wire",3,1.91,1251,991,0.1687465097347931
51,"RGB LED strip, 3 channels, Blue wire",3,1.94,1271,991,0.16833505717825897
52,"RGB LED strip, 3 channels, Blue wire",3,1.97,1291,991,0.16838617873836423
53,"RGB LED strip, 3 channels, Blue wire",3,2.0,1310,991,0.16867450753746038
54,"RGB LED strip, 3 channels, Blue wire",3,2.03,1330,991,0.16820985335733973
55,"RGB LED strip, 3 channels, Blue wire",3,2.06,1350,991,0.16857058436597705
56,"RGB LED strip, 3 channels, Blue wire",3,2.09,1369,991,0.1684647411358984
57,"RGB LED strip, 3 channels, Blue wire",3,2.12,1389,991,0.16881995197607208
58,"RGB LED strip, 3 channels, Blue wire",3,2.15,1408,991,0.1686539469099997
59,"RGB LED strip, 3 channels, Blue wire",3,2.18,1428,991,0.16852970311838114
60,"RGB LED strip, 3 channels, Blue wire",3,2.21,1448,991,0.16837401836725843
61,"RGB LED strip, 3 channels, Blue wire",3,2.24,1467,991,0.16811985061067397
62,"RGB LED strip, 3 channels, Blue wire",3,2.27,1487,991,0.1681645719754626
63,"RGB LED strip, 3 channels, Blue wire",3,2.3,1507,991,0.16845658088686766
